name,ra,dec,distance_pc,ra_ssz,dec_ssz,distance_ssz_pc,xi,D_ssz,stretch_factor,phot_g_mean_mag,parallax
Star-38,162.05518399901217,-11.342803319735204,4.559335387524727,162.05518399901217,-11.342803319735204,9.118670775049454,1.0,0.5,2.0,12.837447,219.33021263059615
Star-39,176.45664661730092,-64.843052846102,4.636600125791626,176.45664661730092,-64.843052846102,9.273200251583251,1.0,0.5,2.0,11.423104,215.67527344818544
Star-40,298.48192590176114,44.41290615922913,4.660385954058287,298.48192590176114,44.41290615922913,9.320771908116575,1.0,0.5,2.0,11.908311,214.5745030256979
Star-41,343.3241110018443,-14.266689393516607,4.672067819639273,343.3241110018443,-14.266689393516607,9.344135639278546,1.0,0.5,2.0,8.875059,214.0379888743159
Star-42,161.08527551332452,-61.20263830459439,4.83162335968976,161.08527551332452,-61.20263830459439,9.66324671937952,1.0,0.5,2.0,11.859422,206.96977507456424
Star-43,1.6763504259443918,-7.54647532525976,4.846134286424774,1.6763504259443918,-7.54647532525976,9.692268572849548,1.0,0.5,2.0,11.773832,206.3500392057332
Star-44,43.77198593477078,-47.01672835622661,4.8679546518290975,43.77198593477078,-47.01672835622661,9.735909303658195,1.0,0.5,2.0,18.57293,205.42508538452748
Star-45,152.8329289582321,49.451988897100506,4.870569914298463,152.8329289582321,49.451988897100506,9.741139828596927,1.0,0.5,2.0,5.9611735,205.31478196510724
Star-46,166.34205974427476,43.53094856108456,4.90466333147386,166.34205974427476,43.53094856108456,9.80932666294772,1.0,0.5,2.0,7.912665,203.8875927696954
Star-47,166.35208967877313,43.52590762036144,4.905992744211656,166.35208967877313,43.52590762036144,9.811985488423312,1.0,0.5,2.0,12.257253,203.83234385738783
Star-48,154.89881370110675,19.869809905451323,4.965085000459092,154.89881370110675,19.869809905451323,9.930170000918183,1.0,0.5,2.0,8.204091,201.40642101948623
Star-49,323.3912518776402,-49.01263039681064,4.967088115558056,323.3912518776402,-49.01263039681064,9.934176231116112,1.0,0.5,2.0,7.739947,201.3251983325545
Star-50,264.26088738973226,-44.32338224303842,5.007651659668271,264.26088738973226,-44.32338224303842,10.015303319336542,1.0,0.5,2.0,9.602153,199.6944012807481
Star-51,63.830787524383176,-7.672952135407352,5.007735116119533,63.830787524383176,-7.672952135407352,10.015470232239066,1.0,0.5,2.0,9.54224,199.6910732720413
Star-52,63.80795300602079,-7.668077815019981,5.009818934047725,63.80795300602079,-7.668077815019981,10.01963786809545,1.0,0.5,2.0,4.179894,199.6080124181338
Star-53,63.82965602087436,-7.670903382610344,5.013747228688032,63.82965602087436,-7.670903382610344,10.027494457376063,1.0,0.5,2.0,9.775309,199.45161859738877
Star-54,341.7028254522359,44.3319533233193,5.0515944358575045,341.7028254522359,44.3319533233193,10.103188871715009,1.0,0.5,2.0,9.005235,197.9573009467556
Star-55,134.5586915113887,19.76257888198771,5.095231766067857,134.5586915113887,19.76257888198771,10.190463532135714,1.0,0.5,2.0,12.48557,196.2619260343735
Star-56,271.36591160903725,2.4941987580927343,5.105783367734121,271.36591160903725,2.4941987580927343,10.211566735468242,1.0,0.5,2.0,5.5392184,195.85633153170517
Star-57,271.364453818457,2.495224095912567,5.113327846832172,271.364453818457,2.495224095912567,10.226655693664345,1.0,0.5,2.0,3.987364,195.5673545594233
Star-58,134.55918967906837,19.762959843487355,5.150807689920019,134.55918967906837,19.762959843487355,10.301615379840038,1.0,0.5,2.0,11.96628,194.14430904826264
Star-59,226.70263614661923,70.46161913358111,5.156201115944601,226.70263614661923,70.46161913358111,10.312402231889202,1.0,0.5,2.0,20.199528,193.9412326077981
Star-60,90.01597644159976,2.7063740799024933,5.207968173719361,90.01597644159976,2.7063740799024933,10.415936347438722,1.0,0.5,2.0,9.901327,192.01346218785216
Star-61,124.37351805519964,-61.91613022264878,5.21277939085435,124.37351805519964,-61.91613022264878,10.4255587817087,1.0,0.5,2.0,20.009703,191.83624032785028
Star-62,176.9394079814786,78.69329745305299,5.254166557993327,176.9394079814786,78.69329745305299,10.508333115986654,1.0,0.5,2.0,9.551337,190.32514271529303
Star-63,235.1951774625917,-51.02810130690448,5.326828049328511,235.1951774625917,-51.02810130690448,10.653656098657022,1.0,0.5,2.0,12.7359295,187.7289806878707
Star-64,75.4868052125233,-6.948587409027854,5.374996643902874,75.4868052125233,-6.948587409027854,10.749993287805747,1.0,0.5,2.0,10.649305,186.04662779359128
Star-65,206.4405658448607,14.885052704598571,5.434894991256834,206.4405658448607,14.885052704598571,10.869789982513668,1.0,0.5,2.0,7.6105833,183.99619525468464
Star-66,67.81389197465391,58.969481205135885,5.516541121244473,67.81389197465391,58.969481205135885,11.033082242488947,1.0,0.5,2.0,12.33619,181.2730074917688
Star-67,67.80919062832808,58.96797997154744,5.517428925853836,67.80919062832808,58.96797997154744,11.034857851707672,1.0,0.5,2.0,9.702565,181.2438390124341
Star-68,103.70012922713916,33.266408018167255,5.584628669736241,103.70012922713916,33.266408018167255,11.169257339472482,1.0,0.5,2.0,8.863551,179.06293491259635
